Population (in thousands),Main Language,Secondary Language,Bus Stations,Train Stations,Airports,Ports
12877.253,Filipino,Filipino,"['UERM Memorial Medical Center', 'J. Ruiz', 'Aurora Boulevard', 'J. Ruiz', 'Araneta Avenue', 'Pinaglabanan', 'SM Sta Mesa']","['J. Ruiz', 'V. Mapa', 'Gilmore', 'Santa Mesa', 'Pureza', 'Betty Go-Belmonte', 'Pandacan']","['Ninoy Aquino International Airport', 'Manila International Airport - Passenger Services', 'Manila Control Tower', 'Manila International Airport - Dragon Air', 'Royal Brunei - Manila International Airport Authority', 'AirPhil Express - Manila International Airport Authority', 'Manila International Airport - Tourism Infrastructure and Enterprise Zone Authority']",['Port of Manila']
1952.544,Bikol,Filipino,"['Ocampo', 'Ocampo', 'Baao', 'Baao', 'Pili', 'Pili', 'Iriga City']","['Sipocot', 'PNR Baao Station', 'Train Station', 'PNR Station -Libmanan', 'Lao Hardware', 'Burabod PNR flagstop', 'Morato Railroad Station']","['Naga Airport', 'Bicol International Airport', 'Daet Airport', 'Legazpi City Domestic Airport', 'Legazpi City Airport Terminal', 'Iriga City Terminal', 'Old Helipad']","['Sabang Port', 'Port of Pasacao', 'Guijalo Port', 'Burobaybay-Canaman Port', 'Sabang Port', 'Nato Port', 'Talisay Port']"
675.95,Ilocano,Filipino,"['Camalaniugan', 'Camalaniugan', 'Lal-Lo', 'Lal-Lo', 'Aparri', 'Gattaran', 'Gattaran']","['PNR Tuguegarao Central Station', 'GV Florida Bus Station', 'Dalin Bus Terminal', 'Claveria Tours', 'Max Gas Station', 'Iguig Calvary Hills', 'Philippine Airlines - Tuguegarao Airport Ticket Office']","['Cagayan North International Airport', 'Tuguegarao airport', 'Calayan Airport', 'Aparri Airport', 'APARRI RCAG/SSR', 'Fuga Airstrip', 'Mabag Airstrip']","['San Vicente Fish Port', 'Port Irene', 'Casambalangan (Port Irene)', 'The Port Bali Leisure Club', 'District Collector - Port of Aparri', 'Bureau of Customs - Port of Aparri', 'Plant Quarantine Service - Region 2-Port of Aparri, Cagayan']"
593.081,Ilocano,Filipino,"['San Nicolas', 'San Nicolas', 'Laoag', 'Laoag', 'Partas Transportation', 'Bacarra', 'Bacarra']","['GV Florida Bus Station', 'Caltex Airport Laoag', 'GMW Trans Bus Station', 'Laoag-Pagudpud Bus Terminal', 'Laoag-Claveria Van Express Terminal', 'Currimao Port', 'Viron Terminal']","['Laoag International Airport', 'Liagens', 'Laoag City International Airport Tower', 'Philippine Airlines - Laoag Airport Ticket Office', 'Vigan Airport', 'AP Cargo Laoag Airport Branch', 'PAGASA LAOAG INTERNATIONAL AIRPORT']","['Currimao Port', 'Currimao', 'PAGSANAHAN PORT to BADOC Island', 'Kapurpurawan Rock Formation', 'Laoag City', 'Ilocos Norte', 'Cape Bojeador Lighthouse']"
689.668,Ilocano,Filipino,"['Candon City', 'Candon City', 'Candon City', 'Candon City', 'Candon City', 'Dominion Bus Terminal', 'Santiago']","['Vigan Terminal', 'Candon City', 'Aniceto Bus Line (Vigan Terminal)', 'Old Quirino Bridge', 'CALTEX', ""PTT Station Thailand's #1"", 'Petron']","['Vigan Airport', 'Laoag City International Airport Tower', 'Laoag International Airport', 'San Fernando (Poro Point) Airport', 'Philippine Airlines - Laoag Airport Ticket Office', 'SAN FERNANDO LA UNION INTERNATIONAL AIRPORT STATION', 'Catbangen International Airport']","['Salomague Port', 'Quirino Tagudin ilocos sur', 'Bantay Abot Port', 'Pandan Caoayan Ilocos Sur Fish Port', ""Odis Local Fishermen's Port"", 'Sabangan River Villa Hermosa Sta. Cruz Ilocos Sur', 'Salomague']"
76500.0,Cebuano,Filipino,"['Professional Regulations Commission', 'Securities And Exchange Commission', 'Jose Fortichi St', 'Cebu Provincial Capitol', 'Cebu Provincial Capitol', 'Cebu Provincial Capitol', 'Cebu Provincial Capitol']",['Cebu city train station'],"['PAir Philippines - Mactan - Cebu City International Airport', 'Mactan-Cebu International Airport', 'Old air strip', 'Airtropolis Consolidator Philippines Incorporated', 'Bantayan Airport', 'Mactan-Cebu International Airport Authority (MCIAA)', 'Casay Airstrip']","['Cebu Port Authority', 'Cebu Port Authority', 'Cebu International Port', 'Cebu Port Authority (CPA) - Port Management Division 2', 'Passenger Terminal 1, PIER 1', 'Cebu Port Authority (CPA) - Port Management Division 3', 'Cebu Port Authority - Planning & Design Division']"
2198.11,Kapampangan,Filipino,"['San Fernando City', 'San Fernando City', 'Transport Hub', 'Guagua', 'Guagua', 'SM Clark', 'Dau Bus Terminal']","['Gov.Pascual', 'Sangandaan', 'Asistio', 'Monumento', '5th Avenue', '5th Avenue', 'Balintawak']","['Clark International Airport', 'Clark International Airport Corporation', 'Clark Airport Support Services Corporation.', 'Angeles City Flying Club', 'Office of the Operations Command Center - Clark International Airport', 'Bandara Pampanga', 'Alphaland Clark Hangar']","['Philippine Ports Authority', 'Plant Quarantine Service - Region 3-Port of San Fernando, Pampanga', 'Clark International Airport', 'Clark Pampanga', 'FIRE EXTINGUISHER PAMPANGA CLARKFILED FREE PORT ZONE', 'Brgy. Sapang Kawayan Right Minor Port', 'Dau Bus Terminal']"
849.469,Palawano,Filipino,"['San Jose Terminal', 'Roro Bus Station', 'Roxas Bus Stop', 'FDJ Bus Station', 'El Nido Transport Terminal', 'Public Market and Terminal Bus Stop', 'Cabayugan Bus Stop']","['El Nido Transport Terminal', 'Coron Bus and Jeepney Terminal', 'Kanaway Transport Terminal', 'San Vicente Airport', 'ZEN Rooms B.M. Road', 'Decalachao River Wharf', 'Francisco B. Reyes Airport']","['Puerto Princesa International Airport', 'El Nido Lio Airport', 'Cesar Lim Rodriguez Airport', 'San Vicente Airport', 'Inaec Hangar Lio Airport, El Nido, Palawan', 'Rio Tuba Airport', 'Berong Airstrip']","['Philippine Ports Authority - Port Management Office/Palawan', 'Puerto Princesa Port', 'Gilligans Port Barton Palawan', 'Buliluyan Port (Philippine Ports Authority)', 'Puerto Princesa International Airport', 'Port of Puerto Princesa city', 'Philippine Ports Authority']"
202.802,Batad,Filipino,"['Lagawe', 'Lagawe', 'Lagawa', 'Kiangan', 'Banaue', 'Banaue Poblacion Terminus', 'Banaue Rice Terraces Viewpoint']","['Rapid Kl Train Station 2', 'Hanging Bridge', 'Rapid KL Train Station 1', 'OLD PNR STATION - CALUMBAYA (Baung Sur)', 'Bogah homestay', 'Cargill', 'Tappiya Falls']","['Civil Aviation Authority of the Philippines - Bagabag Airport', 'Magat River Multipurpose Project (MRMP) Airport', 'Loakan Airport', 'TUMAUINI INTERNATIONAL AIRPORT', 'Cauayan City Airport', 'San Fernando (Poro Point) Airport', 'Maconacon Airport']","['Philippine Ports Authority - PMO Northern Luzon', 'Batad, Banaue Rice Terraces', 'San Fernando International Seaport', 'Philippine Ports Authority - Port Management Office/La Union', 'Batad View Inn and Restaurant', 'Philippine Ports Authority-PMO Northern Luzon Training Center', 'Bureau of Customs Port District - San Fernando']"
632.588,Davaoeño,Filipino,"['Calinan', 'Calinan Public Market Jeepney Stop', 'Holy Cross College of Calinan', 'Calinan National High School', 'Crossing Calinan', 'Malagos Garden Resort', 'Riverside']","['Catalunan Grande Jeepney Station', 'Davao City Overland Transport Terminal', 'Mindanao Railway Project - Carmen Station', 'Mindanao Railway Project - Tagum Station', 'UM Matina Campus Stop', 'Jose Maria College', 'Rephil Sasa']","['Francisco Bangoy International Airport', 'Davao Radar Facility']","['Philippine Ports Authority Port District Office Of Southern Mindanao Port Of Davao (SASA)', 'Davao Integrated Port And Stevedoring Services Corporation', 'Davao', 'Davao Fish Port Complex', 'Davao City Overland Transport Terminal', 'Sasa Wharf', 'Sta. Ana Port']"
