Province,Population,Main Language
Metro Manila,12877253,Filipino
Camarines Sur,1952544,Bikol
Cagayan,675950,Ilocano
Ilocos Norte,593081,Ilocano
Ilocos Sur,689668,Ilocano
Cebu,76500000,Cebuano
Pampanga,2198110,Kapampangan
Palawan,849469,Palawano
Ifugao,202802,Batad
Davao,632588,Davaoeño
Aklan,574823,Aklanon
Southern Leyte,421750,Cebuano
Benguet,446224,Ilocano
Bohol,1313560,Binol-anon
Albay,1314826,Bicol
Talisay,227645,Cebuano
Zambales,590848,Tagalog
Rizal,2884227,Tagalog
Pasay,416522,Filipino
Misamis Oriental,888509,Cebuano
Laguna,3035081,Tagalog
