,Name,Classification,Block,City,Province
0,Cafe Juanita,Restaurant,19 W Capitol Dr,Pasig,Metro Manila
1,Manam Comfort Filipino,Restaurant,"Central Bus. Dist. Unit 105 G/F Greenbelt 2, Esperanza St. cor. Greenbelt Dr, Esperanza St, Ayala Center",Makati,Metro Manila
2,Toyo Eatery,Restaurant,2316 Chino Roces Ave,Makati,Metro Manila
3,"SALU, the Filipino Restaurant",Restaurant,"UAP Bldg, 53 Sct. Rallos St, Diliman",Quezon City,Metro Manila
4,Gallery By Chele,Restaurant,"5/F Clipp Center, 11th Avenue corner, 39th St",Taguig,Metro Manila
26,Conrad Manila,Hotel,"Seaside Boulevard, Corner of Coral Way",Pasay,Metro Manila
28,Ascott Makati,Hotel,"Glorietta 4, Ayala Centre",Makati,Metro Manila
31,"Edsa Shangri-La, Manila",Hotel,"1 Garden Way, Ortigas Center",Pasig,Metro Manila
38,Ascott Bonifacio Global City Manila,Hotel,28th Street corner 5th Avenue,Taguig,Metro Manila
39,Crimson Hotel Filinvest City Manila,Hotel,"Entrata Urban Complex, 2609 Civic Drive",Muntinlupa,Metro Manila
41,City Garden GRAND Hotel,Hotel,8008 Makati Avenue corner,Makati,Metro Manila
45,City Garden Hotel Makati,Hotel,7870 Makati Avenue corner Durban St.,Makati,Metro Manila
49,Discovery Primea,Hotel,6749 Ayala Avenue,Makati,Metro Manila
62,The Minor Basilica and Metropolitan Cathedral of the Immaculate Conception,Tourist Site,"Beaterio St, Cabildo St, Intramuros",Manila,Metro Manila
64,Presidential Museum and Library - Malacañan Palace,Tourist Site,"Malacañan Palace, JP, Kalayaan Hall, 2/F Jose Laurel St, San Miguel",Manila,Metro Manila
65,Fort Santiago,Tourist Site,Intramuros,Manila,Metro Manila
67,The Minor Basilica and Metropolitan Cathedral of the Immaculate Conception,Tourist Site,"Beaterio St, Cabildo St, Intramuros",Manila,Metro Manila
69,Presidential Museum and Library - Malacañan Palace,Tourist Site,"Malacañan Palace, JP, Kalayaan Hall, 2/F Jose Laurel St, San Miguel",Manila,Metro Manila
70,Fort Santiago,Tourist Site,Intramuros,Manila,Metro Manila
72,Ayala Museum,Tourist Site,"Greenbelt Park, Makati Avenue, corner Dela Rosa Street, Ayala Center",Makati,Metro Manila
75,The Mind Museum,Tourist Site,"JY Campos Park, 3rd Ave",Taguig,Metro Manila
76,National Museum of Anthropology,Tourist Site,"Padre Burgos Ave, Ermita",Manila,Metro Manila
82,Okada Manila,Tourist Site,"New Seaside Dr, Entertainment City",Parañaque,Metro Manila
83,Resorts World Manila,Tourist Site,Newport Blvd,Pasay,Metro Manila
84,PAGCOR Entertainment City,Tourist Site,"New Seaside Dr, Tambo",Parañaque,Metro Manila
